epoch,auc,binary_accuracy,learning_rate,loss,precision,recall,val_auc,val_binary_accuracy,val_loss,val_precision,val_recall
0,0.6827823519706726,0.6444893479347229,0.0010000000474974513,0.7094610929489136,0.6001137495040894,0.7054497003555298,0.887553334236145,0.8233082890510559,0.5754590034484863,0.8868613243103027,0.6883852481842041
1,0.8375080823898315,0.7803512811660767,0.0010000000474974513,0.4767514169216156,0.768916130065918,0.7542628049850464,0.9207030534744263,0.8521304130554199,0.508425235748291,0.8877887725830078,0.7620396614074707
2,0.8646257519721985,0.8080211877822876,0.0010000000474974513,0.4284833073616028,0.8087201118469238,0.7689735889434814,0.9382842183113098,0.8696742653846741,0.46549251675605774,0.8830769062042236,0.8130311369895935
3,0.8955472111701965,0.8321157097816467,0.0010000000474974513,0.3764443099498749,0.8298239707946777,0.8037445545196533,0.9424744844436646,0.8796992897987366,0.44015994668006897,0.8681948184967041,0.8583569526672363
4,0.9100772738456726,0.8448624610900879,0.0010000000474974513,0.3461339473724365,0.8397545218467712,0.823470413684845,0.9516503214836121,0.8834587335586548,0.41508305072784424,0.8693181872367859,0.8668555021286011
5,0.9220646619796753,0.8594746589660645,0.0010000000474974513,0.32358318567276,0.8512285351753235,0.8455365896224976,0.95074462890625,0.8784462213516235,0.40064069628715515,0.8516483306884766,0.8781869411468506
6,0.9277998805046082,0.8694232702255249,0.0010000000474974513,0.31401026248931885,0.8717594146728516,0.8431962728500366,0.9569030404090881,0.8909774422645569,0.3812141418457031,0.8594594597816467,0.9008498787879944
7,0.9387526512145996,0.8743976950645447,0.0010000000474974513,0.2886897027492523,0.8736733794212341,0.853226363658905,0.9594110250473022,0.8872180581092834,0.3624480366706848,0.8506666421890259,0.9036827087402344
8,0.9466351270675659,0.882481038570404,0.0010000000474974513,0.26983198523521423,0.8743718862533569,0.8726178407669067,0.9647271037101746,0.8934837579727173,0.33984073996543884,0.8526315689086914,0.9178470373153687
9,0.9551072716712952,0.8949167728424072,0.0010000000474974513,0.24595245718955994,0.8914440274238586,0.8813105821609497,0.9687888026237488,0.888471245765686,0.31508776545524597,0.8529411554336548,0.9036827087402344
10,0.957892119884491,0.8991139531135559,0.0010000000474974513,0.24170662462711334,0.902959406375885,0.8772985339164734,0.969492495059967,0.902255654335022,0.28955572843551636,0.8686327338218689,0.9178470373153687
11,0.960228443145752,0.9036219716072083,0.0010000000474974513,0.23321062326431274,0.898487389087677,0.8936810493469238,0.9714564681053162,0.9047620296478271,0.2827826142311096,0.8616188168525696,0.9348441958427429
12,0.966346263885498,0.9110835194587708,0.0010000000474974513,0.21538522839546204,0.9140705466270447,0.8926780223846436,0.9743914008140564,0.9122806787490845,0.25752902030944824,0.8855586051940918,0.9206798672676086
13,0.9701204895973206,0.91621333360672,0.0010000000474974513,0.2022429257631302,0.9153116345405579,0.9033768177032471,0.974640429019928,0.9185463786125183,0.24621076881885529,0.8934426307678223,0.9263455867767334
14,0.9691818356513977,0.9146588444709778,0.0010000000474974513,0.20750857889652252,0.9175786375999451,0.897024393081665,0.9806973338127136,0.9210526347160339,0.22711166739463806,0.90055251121521,0.9235127568244934
15,0.9725031852722168,0.9213430881500244,0.0010000000474974513,0.19313110411167145,0.9168064594268799,0.9137412309646606,0.977310299873352,0.9172933101654053,0.22344639897346497,0.8867924809455872,0.9320113062858582
16,0.9782416224479675,0.9312917590141296,0.0010000000474974513,0.17348651587963104,0.9241264462471008,0.9284520149230957,0.9760667681694031,0.9235589504241943,0.20664796233177185,0.9101123809814453,0.9178470373153687
17,0.9761193990707397,0.92616206407547,0.0010000000474974513,0.18160855770111084,0.9331955909729004,0.906051516532898,0.9810847043991089,0.9348371028900146,0.18998511135578156,0.9215686321258545,0.9320113062858582
18,0.9781872630119324,0.929737389087677,0.0010000000474974513,0.1739199161529541,0.9241563677787781,0.9247743487358093,0.9878368973731995,0.9385964870452881,0.1808549463748932,0.9175823926925659,0.9461756348609924
19,0.9825157523155212,0.9322245717048645,0.0010000000474974513,0.15988819301128387,0.9259753227233887,0.9284520149230957,0.9888981580734253,0.9523809552192688,0.15439732372760773,0.9461756348609924,0.9461756348609924
20,0.9844077229499817,0.9368879795074463,0.0010000000474974513,0.1469947248697281,0.9368029832839966,0.9267803430557251,0.9871984124183655,0.9573935270309448,0.15024666488170624,0.9518413543701172,0.9518413543701172
21,0.9851402640342712,0.9446604251861572,0.0010000000474974513,0.1436356008052826,0.9461564421653748,0.9341357350349426,0.9860283732414246,0.9586466550827026,0.14767739176750183,0.9469273686408997,0.9603399634361267
22,0.9838704466819763,0.9431058764457703,0.0010000000474974513,0.14600135385990143,0.9394040703773499,0.938147783279419,0.9883087873458862,0.9611528515815735,0.13065335154533386,0.9599999785423279,0.9518413543701172
23,0.9875661134719849,0.9476138949394226,0.0010000000474974513,0.1337519884109497,0.9444072246551514,0.9428284764289856,0.9880967736244202,0.9624059796333313,0.12431447207927704,0.9654178619384766,0.9490085244178772
24,0.9858265519142151,0.9396858811378479,0.0010000000474974513,0.14258915185928345,0.931388795375824,0.9394851326942444,0.988976001739502,0.9536341428756714,0.12667463719844818,0.9514285922050476,0.9433428049087524
25,0.9841593503952026,0.9412404894828796,0.0010000000474974513,0.14200645685195923,0.9403437972068787,0.9327983856201172,0.99136883020401,0.9598997831344604,0.11444220691919327,0.9652174115180969,0.9433428049087524
26,0.9888801574707031,0.9482357501983643,0.0010000000474974513,0.12436458468437195,0.9508141279220581,0.9371447563171387,0.9886031150817871,0.9661654233932495,0.1136152371764183,0.9766082167625427,0.9461756348609924
27,0.9897562861442566,0.9527437686920166,0.0010000000474974513,0.12004043161869049,0.947684109210968,0.9508525729179382,0.9878352880477905,0.9573934674263,0.12301068007946014,0.9544159770011902,0.9490085244178772
28,0.9881094694137573,0.9505674839019775,0.0010000000474974513,0.1232047751545906,0.9498485326766968,0.9434971809387207,0.9922217130661011,0.9611528515815735,0.11136490106582642,0.9548022747039795,0.9575070738792419
29,0.9882445931434631,0.9532099962234497,0.0010000000474974513,0.12371467053890228,0.9495320916175842,0.949849545955658,0.9923523664474487,0.9661653637886047,0.10672984272241592,0.9578651785850525,0.9660056829452515
30,0.9882391691207886,0.9552308917045593,0.0010000000474974513,0.12161234766244888,0.9548973441123962,0.9485121965408325,0.9908768534660339,0.9586466550827026,0.11289583146572113,0.9624277353286743,0.9433428049087524
31,0.9909396171569824,0.9580288529396057,0.0010000000474974513,0.11047826707363129,0.9545606374740601,0.9551989436149597,0.9894014596939087,0.9536340832710266,0.11798040568828583,0.9593023061752319,0.9348441958427429
32,0.9924032092094421,0.9591171145439148,0.0010000000474974513,0.10347486287355423,0.9614343643188477,0.9501838684082031,0.9880271553993225,0.9561403393745422,0.12551626563072205,0.9595375657081604,0.9405099153518677
33,0.9913784265518188,0.957873523235321,0.0010000000474974513,0.10867134481668472,0.9563758373260498,0.952858567237854,0.9890521168708801,0.9561403393745422,0.11789771169424057,0.9568965435028076,0.9433428049087524
34,0.9922679662704468,0.9608270525932312,0.0010000000474974513,0.10258331894874573,0.9603361487388611,0.9551989436149597,0.9937004446983337,0.9661653637886047,0.0928306058049202,0.9683908224105835,0.954674243927002
35,0.9915747046470642,0.9574072360992432,0.0010000000474974513,0.10728692263364792,0.9529843330383301,0.9555332660675049,0.9887733459472656,0.9598997831344604,0.10928580909967422,0.9521126747131348,0.9575070738792419
36,0.9937298893928528,0.9633142352104187,0.0010000000474974513,0.0933191329240799,0.9608564972877502,0.9602139592170715,0.9912234544754028,0.9661654233932495,0.09980881959199905,0.9578651785850525,0.9660056829452515
37,0.994178295135498,0.9650241136550903,0.0010000000474974513,0.08854652941226959,0.965656578540802,0.9588766098022461,0.9893155694007874,0.9598997831344604,0.11440011113882065,0.954674243927002,0.954674243927002
38,0.9949515461921692,0.9664230942726135,0.0010000000474974513,0.08484705537557602,0.9626542329788208,0.9652290344238281,0.9912917017936707,0.9636591076850891,0.10448502004146576,0.9628571271896362,0.954674243927002
39,0.9952090382575989,0.9673558473587036,0.0010000000474974513,0.08163931220769882,0.9692878723144531,0.9602139592170715,0.9896069765090942,0.9661654233932495,0.10894380509853363,0.9657142758369446,0.9575070738792419
40,0.9947654604911804,0.9675112366676331,0.0005000000237487257,0.08153238892555237,0.9621262550354004,0.9682380557060242,0.9898599982261658,0.9649122953414917,0.11029895395040512,0.9682996869087219,0.9518413543701172
41,0.9958626627922058,0.9698429703712463,0.0005000000237487257,0.07683207094669342,0.9691378474235535,0.9658976793289185,0.9888620376586914,0.9624060392379761,0.11536844819784164,0.9575070738792419,0.9575070738792419
42,0.9965978264808655,0.9724855422973633,0.0005000000237487257,0.07019345462322235,0.9705685377120972,0.9702440500259399,0.990554928779602,0.9724311232566833,0.09962553530931473,0.9661971926689148,0.9716714024543762
43,0.9964355826377869,0.974040150642395,0.0005000000237487257,0.0688752755522728,0.9744623899459839,0.9695754051208496,0.9900128245353699,0.9711779356002808,0.09919672459363937,0.96875,0.9660056829452515
44,0.9958868622779846,0.9734184145927429,0.0005000000237487257,0.06992346793413162,0.9693741798400879,0.9735874533653259,0.9894881248474121,0.9624060392379761,0.10301759093999863,0.9601139426231384,0.954674243927002
